
# The empirical dipole function for the X1S+ state of HCl http://doi.org/10.1016/S0022-4073(00)00059-5
# R,A      d,D

0.80       0.6964
0.85       0.7287
0.90       0.7636
0.95       0.8010
1.00       0.8410
1.05       0.8833
1.10       0.9277
1.15       0.9738
1.20       1.0212
1.25       1.0694
1.30       1.1179
1.35       1.1661
1.40       1.2135
1.45       1.2594
1.50       1.3030
1.55       1.3435
1.60       1.3801
1.65       1.4119
1.70       1.4378
1.75       1.4569
1.80       1.4680
1.85       1.4702
1.90       1.4625
1.95       1.4441
2.00       1.4143
