
# ab initio (cas+ci/avqz) dipole function for the X1S+ state of HCl

# R,A    d,D
0.7      0.70254
0.8      0.76204
0.9      0.83167
1.0      0.91283
1.1      1.0035
1.2      1.09908
1.3      1.19466
1.4      1.2855
1.5      1.3661
1.6      1.43037
1.7      1.47203
1.8      1.48529
1.9      1.46569
2.0      1.41119
2.1      1.32309
2.2      1.20645
2.3      1.06968
2.4      0.92311
2.5      0.77708
2.6      0.64015
2.7      0.51804
2.8      0.41351
2.9      0.32688
3.0      0.25686
3.1      0.20131
3.2      0.1578
3.3      0.12403
3.4      0.09797
3.5      0.07791
3.6      0.06246
3.7      0.05055
3.8      0.04134
3.9      0.03417
4.0      0.02856
4.1      0.02413
4.2      0.02061
4.3      0.01777
4.4      0.01548
4.5      0.01361
4.6      0.01205
4.7      0.01075
4.8      0.00965
4.9      0.00871
5.0      0.0079
