
# ab initio (cas+ci/avqz) potential energy curve for the X1S+ state of HCl

# R,A     U,cm-1
0.7       158516.20
0.8       82936.85
0.9       40410.85
1.0       17295.30
1.1       5672.53
1.2       834.97
1.3       0.00
1.4       1500.98
1.5       4295.31
1.6       7727.13
1.7       11384.24
1.8       15007.99
1.9       18437.65
2.0       21576.33
2.1       24370.17
2.2       26795.77
2.3       28852.43
2.4       30557.12
2.5       31940.00
2.6       33039.89
2.7       33899.54
2.8       34561.53
2.9       35065.17
3.0       35444.71
3.1       35728.70
3.2       35940.12
3.3       36096.98
3.4       36213.14
3.5       36299.08
3.6       36362.67
3.7       36409.78
3.8       36444.75
3.9       36470.78
4.0       36490.24
4.1       36504.87
4.2       36515.95
4.3       36524.40
4.4       36530.90
4.5       36535.95
4.6       36539.92
4.7       36543.06
4.8       36545.58
4.9       36547.61
5.0       36549.26
