 
# RKR-like PEC for the X1S+ state of HCl from http://dx.doi.org/10.1016/j.jqsrt.2014.08.028

# R,A     U,cm-1
0.90898   37214.  
0.90969   37005.7 
0.91147   36493.690
0.91417   35725.010
0.91767   34747.877
0.92192   33592.217
0.92688   32278.144
0.93257   30820.291
0.93902   29229.647
0.94629   27514.609
0.95444   25681.608
0.96359   23735.517
0.97389   21680.003
0.98554   19517.778
0.99881   17250.746
1.01412   14880.156
1.03206   12406.710
1.05365   9830.658
1.08069   7151.864
1.11719   4369.857
1.17717   1483.881
1.27455   0.000
1.39342   1483.881
1.49728   4369.857
1.57895   7151.864
1.65259   9830.658
1.72234   12406.710
1.79022   14880.156
1.85745   17250.746
1.92492   19517.778
1.99340   21680.003
2.06364   23735.517
2.13647   25681.608
2.21285   27514.609
2.29404   29229.647
2.38176   30820.291
2.47846   32278.144
2.58800   33592.217
2.71680   34747.877
2.87717   35725.010
3.09879   36493.690
3.485     37005.7 
4.67      37214.
